tree_number	ui	name
B03.440.400.425.550.550.641.820	D038581	Neisseria meningitidis, Serogroup Y
B03.440.400.425.550.550.660	D042807	Neisseria mucosa
B03.440.400.425.550.550.800	D042808	Neisseria sicca
B03.440.400.425.562	D043369	Nitrosomonadaceae
B03.440.400.425.562.500	D009606	Nitrosomonas
B03.440.400.425.562.500.200	D043370	Nitrosomonas europaea
B03.440.400.425.575	D042041	Ochrobactrum
B03.440.400.425.575.650	D020621	Ochrobactrum anthropi
B03.440.400.425.587	D042802	Oxalobacteraceae
B03.440.400.425.587.400	D042803	Herbaspirillum
B03.440.400.425.600	D010230	Paracoccus
B03.440.400.425.600.380	D010231	Paracoccus denitrificans
B03.440.400.425.600.690	D042084	Paracoccus pantotrophus
B03.440.400.425.622	D031161	Pseudoalteromonas
B03.440.400.425.625	D011548	Pseudomonadaceae
B03.440.400.425.625.050	D001395	Azotobacter
B03.440.400.425.625.050.850	D016948	Azotobacter vinelandii
B03.440.400.425.625.150	D020633	Cellvibrio
B03.440.400.425.625.625	D011549	Pseudomonas
B03.440.400.425.625.625.100	D011550	Pseudomonas aeruginosa
B03.440.400.425.625.625.120	D044202	Pseudomonas alcaligenes
B03.440.400.425.625.625.223	D000070096	Pseudomonas chlororaphis
B03.440.400.425.625.625.325	D011551	Pseudomonas fluorescens
B03.440.400.425.625.625.350	D044206	Pseudomonas fragi
B03.440.400.425.625.625.500	D044203	Pseudomonas mendocina
B03.440.400.425.625.625.650	D044204	Pseudomonas oleovorans
B03.440.400.425.625.625.662	D044205	Pseudomonas pseudoalcaligenes
B03.440.400.425.625.625.675	D016958	Pseudomonas putida
B03.440.400.425.625.625.750	D044223	Pseudomonas stutzeri
B03.440.400.425.625.625.770	D044224	Pseudomonas syringae
B03.440.400.425.700	D012230	Rhizobiaceae
B03.440.400.425.700.024	D060054	Agrobacterium
B03.440.400.425.700.024.050	D016960	Agrobacterium tumefaciens
B03.440.400.425.700.800	D012231	Rhizobium
B03.440.400.425.700.800.337	D042163	Rhizobium etli
B03.440.400.425.700.800.450	D016961	Rhizobium leguminosarum
B03.440.400.425.700.800.600	D042161	Rhizobium phaseoli
B03.440.400.425.700.800.800	D042162	Rhizobium tropici
B03.440.400.425.700.887	D020579	Sinorhizobium
B03.440.400.425.700.887.249	D042181	Sinorhizobium fredii
B03.440.400.425.700.887.500	D016962	Sinorhizobium meliloti
B03.440.400.425.708	D012244	Rhodospirillaceae
B03.440.400.425.708.100	D016949	Azospirillum
B03.440.400.425.708.100.020	D015806	Azospirillum brasilense
B03.440.400.425.708.100.510	D042081	Azospirillum lipoferum
B03.440.400.425.708.500	D042201	Magnetospirillum
B03.440.400.425.708.733	D012246	Rhodospirillum
B03.440.400.425.708.733.150	D042182	Rhodospirillum centenum
B03.440.400.425.708.733.650	D012247	Rhodospirillum rubrum
B03.440.400.425.750	D020578	Sphingomonas
B03.440.400.425.875	D013824	Thermus
B03.440.400.425.875.875	D016963	Thermus thermophilus
B03.440.400.425.935	D020584	Xanthobacter
B03.440.400.425.967	D044166	Xanthomonadaceae
B03.440.400.425.967.500	D053528	Lysobacter
B03.440.400.425.967.750	D020588	Stenotrophomonas
B03.440.400.425.967.750.500	D020615	Stenotrophomonas maltophilia
B03.440.400.425.967.930	D014974	Xanthomonas
B03.440.400.425.967.930.100	D016959	Xanthomonas campestris
B03.440.400.425.967.930.850	D044184	Xanthomonas vesicatoria
B03.440.400.425.967.950	D044167	Xylella
B03.440.400.425.983	D015045	Zoogloea
B03.440.400.450	D006091	Gram-Negative Chemolithotrophic Bacteria
B03.440.400.450.800	D013855	Thiobacillus
B03.440.400.645	D041962	Thiotrichaceae
B03.440.400.645.100	D053524	Beggiatoa
B03.440.400.645.800	D053525	Thiothrix
B03.440.400.840	D020589	Vitreoscilla
B03.440.425	D006089	Gram-Negative Anaerobic Bacteria
B03.440.425.200	D000073564	Desulfovibrionaceae
B03.440.425.400	D016964	Gram-Negative Anaerobic Cocci
B03.440.425.400.500	D045851	Megasphaera
B03.440.425.400.500.500	D000070101	Megasphaera elsdenii
B03.440.425.400.750	D020586	Thiocapsa
B03.440.425.400.750.660	D020616	Thiocapsa roseopersicina
B03.440.425.410	D016965	Gram-Negative Anaerobic Straight, Curved, and Helical Rods
B03.440.425.410.145	D044064	Anaerobiospirillum
B03.440.425.410.200	D045282	Bilophila
B03.440.425.410.290	D002844	Chromatium
B03.440.425.410.350	D003901	Desulfovibrio
B03.440.425.410.350.040	D045284	Desulfovibrio africanus
B03.440.425.410.350.150	D045285	Desulfovibrio desulfuricans
B03.440.425.410.350.350	D045286	Desulfovibrio gigas
B03.440.425.410.350.875	D016969	Desulfovibrio vulgaris
B03.440.425.410.360	D045287	Desulfuromonas
B03.440.425.410.400	D020376	Dichelobacter nodosus
B03.440.425.410.405	D042001	Ectothiorhodospiraceae
B03.440.425.410.405.500	D020587	Ectothiorhodospira
B03.440.425.410.405.500.720	D020608	Ectothiorhodospira shaposhnikovii
B03.440.425.410.405.750	D020607	Halorhodospira halophila
B03.440.425.410.430	D045302	Geobacter
B03.440.425.410.580	D020624	Oxalobacter formigenes
B03.440.425.410.711	D013143	Spirochaetaceae
B03.440.425.410.711.193	D001898	Borrelia
B03.440.425.410.711.193.150	D015748	Borrelia burgdorferi Group
B03.440.425.410.711.193.150.125	D025065	Borrelia burgdorferi
B03.440.425.410.711.679	D013142	Spirochaeta
B03.440.425.410.711.795	D014208	Treponema
